Scene,Character,Line
951,ross,I’m sorry.
951,phoebe,Okay.
951,ross,I don’t know what to say.
951,rachel,You could.... say you’re sorry to her mom.
951,phoebe,I think she would like that.
951,ross,"Mrs. Buffay. Sorry, about what I said, umm, it was, it was insensitive of me to say that you were just a cat. When clearly you are also the reincarnated spirit, of my friend’s mother."
951,phoebe,Thank you. We both forgive you.
951,rachel,"So honey, what are you gonna do about the little girl?"
951,phoebe,"Yeah, okay, listen, umm, Mom, I hope you know you still mean a lot to me. And you’re welcome to come back anytime."
951,chandler,"Pheebs, if she could come back as a couch, we’d really appreciate it."
951,phoebe,"Come on, Mom, I’ll take you home."
951,rachel,I’ll go with you.
951,monica,Me too.
951,ross,"Oh! Y'know, I’ve got an extra futon."
951,joey,"Dude, you don’t have to brag! We got nothing here!!"
953,joey,Hey!! We are so in luck! Treeger said that we could have all this cool stuff from the basement. Wait right there.
953,chandler,"Oh no-no-no, I’m, I’m paddling away!"
953,joey,Huh?!
953,chandler,Wow! Really?! We get all this rusty crap for free?!
953,joey,"Uh-huh. This and a bunch of bubble wrap. And, some of it is not even popped!"
953,chandler,Could we be more white trash?
954,monica,How desperate am I?
954,rachel,"Oh! Good thing Chandler’s not here, he always wins at this game."
954,monica,I just told my Mom I’d cater a party for her.
954,phoebe,How come?
954,monica,"Because I need the money, and I thought that it’d be a great way to get rid of that last little schmidgen of self-respect."
954,ross,"Come on, I think this is a good thing. I don’t think Mom would’ve hired you if she didn’t think you were good at what you do."
954,monica,You don’t have to stick up for her. She can’t here you.
955,rachel,"Hey! Umm, do you guys have any juice?"
955,joey,Just pickle.
955,chandler,"Hey uh, Rach, funny story. I ah, bumped into Joanna on the street yesterday."
955,rachel,"My boss, Joanna? Wow, that must’ve been awkward."
955,chandler,"Well, no, actually she uh, asked me if I wanted to get a drink."
955,rachel,"You ah, you didn’t say ‘Yes’ to that did you?"
955,chandler,No. No!
955,chandler,"Well, not at first."
955,rachel,What is she doing here?
955,rachel,"I don’t understand! Last time you went out with her you said she was a ‘big, dull dud.’"
955,chandler,"Well, I think I judged her too quickly, and this time we were able to take the relationship to the next level."
955,rachel,"Well, last time I almost got fired. You must end it, you must end it now!"
955,chandler,"Oh, come on! It’s not like this is an everyday occurrence for me! I mean usually I’m pretty much just in there by myself."
955,rachel,"Chandler!! Promise me, you will end it."
955,chandler,"Okay, I promise, I’ll end it."
955,rachel,Thank you.
955,chandler,"I hope you know what I’m giving up for ya, because she’s not just the boss in your office, if you know what I mean."
955,joey,"Yeah-eh-eah! Oh-oh, sorry, I-I knew what he meant."
956,mrs. geller,How’s the hired help?
956,monica,"Doing great, the quiches are coming along."
956,mrs. geller,What’s this? Blue nail polish?
956,monica,"Yeah, I thought it was cute."
956,mrs. geller,"Ahh, that’s what your Grandmother’s hands looked like when we found her."
956,monica,Let me ask you a question.
956,mrs. geller,Hmm.
956,monica,Why did you hire me?
956,mrs. geller,"Oh, well Richard raved about the food at his party, of course you were sleeping with him. Then I heard the food at that lesbian wedding was very nice, I assume you weren’t sleeping with anybody there. Though, at least that would be something."
956,monica,Oh my God! Did you hear that? She hired me because she thinks I’m good.
956,phoebe,"Okay, I didn’t hear that."
956,monica,"Oh yeah, she didn’t hire me out of pity, it wasn’t so she could pick on me in front of her friends, she actually thinks I’m good."
956,phoebe,"Wow! And hey, it’s cool if you’re a lesbian!"
957,the salesman,"Good afternoon, are you the decision maker of the house?"
957,joey,Uhhhh.
957,the salesman,"Do you ah, currently own a set of encyclopedias?"
957,joey,"No! No. But ah, try the classifieds, people sell everything in there."
957,the salesman,"Actually, I’m not buying. I’m selling. Let me ask you one question. Do your friends ever have a conversation and you just nod along even though you’re not really sure what they’re talking about?"
957,ross,…I’m telling you it’s totally unconstituional.
957,"monica, chandler, phoebe, and rachel","Oh yeah, I totally agree."
957,monica,…I think he deserves a Nobel Prize.
957,all,Nooo!!
957,chandler,…it was like the Algonquin kids table.
957,the salesman,"Excuse me, I’m sorry, you haven’t said anything for about two and a half minutes, are you at all interested?"
957,joey,Yeah-well-yeah! Yeah-oh-yeah. Come on in.
958,phoebe,That’s weird.
958,monica,What?
958,phoebe,Your nails.
958,monica,"Oh, I know, I never wear fake ones. I just did it so my Mom wouldn’t give me grief about me biting them."
958,phoebe,"Oh, no, I meant that it’s weird that you only have nine now."
958,monica,Oh my God! It’s in the quiche! Oh My God!
958,phoebe,"Okay, don’t panic. I’m gonna go to the store, I’m gonna get you another set of nails, no one’s gonna know, and you’re gonna look great. Oh! Oh, it’s ‘cause they’re gonna eat—that’s the problem."
958,mrs. geller,"Honey, don’t bite your nails."
958,monica,"Okay ah, please don’t freak out. Umm, but ah, there’s a blue fingernail in one of the quiche cups, and there’s no way to know which one."
958,phoebe,And! Whoever finds it wins the prize!
958,mrs. geller,I’m not freaking out.
958,monica,Then why are you laughing?
958,mrs. geller,"It’s nothing, it’s just that now your Father owes me five dollars."
958,monica,What? You bet I’d lose a nail?
958,mrs. geller,"Oh no, don’t be silly. I just bet I’d need these."
958,monica,Frozen lasagnas?
958,mrs. geller,Um-hmm.
958,monica,You bet that I’d screw up?! So all that stuff about hiring me because I was good was…
958,mrs. geller,"No-no-no, that was all true. This was just in case you pulled a Monica."
958,monica,"You promised Dr. Weinburg, you’d never use that phrase."
958,mrs. geller,"Oh honey, come on, have a sense of humour, you’ve never been able to laugh at yourself."
958,monica,"That’s right. My Mom doesn’t have any faith in me! Oh, that’s hilarious! Ha-ha-ha-ha-ha."
958,phoebe,I don’t get it.
958,mrs. geller,"No, I have faith…"
958,oven,Ding!
958,phoebe,"Op, the ruined quiches are ready."
959,chandler,It just doesn’t…feel like we’re breaking up.
959,joanna,"No, we are. I’m sad."
959,chandler,Okay.
959,joanna,Unbelievable!!
959,chandler,Thanks.
959,joanna,"No, no, that was my boss. I have to go."
959,chandler,Okay.
959,joanna,What are you doing?
959,chandler,I’m getting dressed.
959,joanna,Why?
959,chandler,When I walk outside naked people throw garbage at me.
959,joanna,Wait. I wanna show you something.
959,chandler,What is it?
959,joanna,Just a little gag gift somebody gave me. Put your hands together.
959,chandler,"Ah-ha, you’re not the boss of me. Ooh, saucy."
959,chandler,"You are, you’re gonna leave me like this?"
959,joanna,"Knowing you’re here, waiting for me I think it’s kinda exciting."
959,chandler,"Okay. But if you don’t come back soon, there’s pretty much nothing I can do about it!"
959,joanna,Oh.
959,sophie,Hi! I brought you back a macaroon!
959,joanna,Oh great! I’ll keep it in my butt with your nose.
959,rachel,"That’s weird, she locked the door."
959,sophie,Y’know why? She’s got the Christmas bonus list in there. I saw her working on it this morning.
959,rachel,"Okay, swear you won’t tell, but when Mark left he gave me a key to Joanna’s office. Do you wanna see the list?"
959,sophie,Yeah!
959,chandler,Hi! How are you?
960,chandler,"Hello, Joanna……’s office."
960,joanna,I’m really sorry but I may be a little while longer.
960,chandler,How little?!
960,joanna,"A couple of hours, I feel awful."
960,chandler,"Look, this isn’t funny! You get back here right now!"
960,joanna,I can’t!!
960,chandler,Why not?!
960,joanna,I’m in my boss’s car!
960,chandler,What?!
960,joanna,"Uh-oh, tunnel."
960,rachel,What?!
960,chandler,"Rachel, could I see you for a moment?"
960,chandler,"Okay, here’s the situation. The keys to the cuffs are on the back of the door. Could you be a doll and grab them and scoot on over and unlock me? And on a totally different subject, that is a lovely pantsuit."
960,rachel,You promised you would break up with her!
960,chandler,"I did break up with her! She just took it really, really well!"
960,rachel,And the fact that you were jeopardising my career never entered your mind?!
960,chandler,"It did enter my mind! But then something happened that made it, shoot right out."
960,rachel,"Y'know what Chandler, you got yourself into those cuffs, you get yourself out of them."
960,chandler,"No-no-no-no-no-no-no!! I can’t get myself right out of them! You must have me confused with the Amazing Chandler!! Come on, you have to unlock me, she could be gone for hours, and I’m cold, and"
960,rachel,"Oh, Chandler!! All right, this is it! You never see Joanna again!"
960,chandler,Never!
960,rachel,You never come into this office again!
960,chandler,Fine!
960,rachel,You give me back my Walkman!
960,chandler,I—never borrowed your Walkman.
960,rachel,"Well, then I lost it. You buy me one!"
960,chandler,You got it! Here we go! Come on! This is great!
960,rachel,Does it hurt?
960,chandler,"No, I just always see guys doing this when they get handcuffs taken off them. Hello sweet pants!"
960,rachel,Wait a minute! What are you gonna tell Joanna?
960,chandler,About what?
960,rachel,"When she sees that you’re gone, she’s gonna know that I let you out, and that I was in here, and I’m gonna get fired!"
960,chandler,"I’ll make something up! I’m good at lying, I actually did borrow your Walkman!"
960,rachel,"No, there’s nothing to make up, she’s gonna know that I have a key to her office, I’ve got to get you locked up back the way you were!"
960,chandler,"Oh-ho-ho, I don’t think so!"
960,chandler,"Well, this is much better."
961,the salesman,"So, here’s somebody interesting, Joey. What do you know about Van Gogh?"
961,joey,He cut off his ear.
961,the salesman,And?
961,joey,I’m out.
961,the salesman,He painted that.
961,joey,Wow! That’s pretty nice. I thought he cut off his ear ‘cause he sucked. What else you got in there?
961,the salesman,"Let’s see, ahhh… Where does the Pope live?"
961,joey,"In the woods. No wait-wait, that’s the joke answer."
961,the salesman,"Actually its, Vatican City. Now ahh, what do you know about vulcanised rubber?"
961,joey,Spock’s birth control.
961,the salesman,You need these books.
962,phoebe,Hey!
962,monica,Hi.
962,phoebe,This used to be your room? Wow! You must’ve been in really good shape as a kid.
962,monica,"Ohh, I’m such an idiot. I can’t believe I actually thought she could change."
962,phoebe,"Well, who cares what your Mom thinks? So you pulled a Monica."
962,monica,"Oh good, I’m glad that’s catching on."
962,phoebe,"No but, why does that have to be a bad thing. Just change what it means. Y'know? Go down there and prove your Mother wrong. Finish the job you were hired to do, and we’ll call that pulling a Monica."
962,monica,What?
962,phoebe,"Okay, umm, if a kid gets straight A’s, his parents would say, ""Yeah, he pulled a Monica."" Y'know? Or a fireman saves a baby, and they go, ""Yeah I know, he pulled a Monica."" Or someone hits a homerun and the announcer says, ""Yeah, that one’s outta here."" Though some things don’t change."
962,monica,"All right, I’ll go down there. But, I’m not gonna serve the lasagna. I’m gonna serve something I make."
962,phoebe,Wow! My breasts are really strong.
963,rachel,"Chandler! Chandler, please, I have to get you locked up back the way you were, I am sooo gonna lose my job, she’s very private about her office. Now I know why."
963,chandler,"Hey, look, you’re in trouble either way! Okay? If she comes back and sees me locked to this instead of the chair, she’s gonna know you were in here. So you might as well just let me go."
963,rachel,What if I clean your bathroom for a month?
963,chandler,It still wouldn’t be clean. All I want is my freedom.
963,rachel,Foot rubs for a month!
963,chandler,Freedom!
963,rachel,I’ll take all of your photos and put them into photo albums!
963,chandler,Freedom! I want my freedom! Why won’t you here me?!
963,rachel,Sophie sit!!
963,rachel,"No! God, would you just calm down!"
963,chandler,I’m gonna say this for the last time. Would you please just…
964,joey,Wow! There’s a lot I didn’t know about vomit.
964,the salesman,"So, what do you say, Joey? You get the whole set of encyclopedias for twelve hundred dollars, which works out to just 50 bucks a book!"
964,joey,"Twelve hundred dollars? You think I have $1200? I’m home in the middle of the day, and I got patio furniture in my living room. I guess there’s a few things you don’t get from book learnin’."
964,the salesman,"Well ah, what can you swing?"
964,joey,"How about zero down and zero a month for a long, long time?"
964,the salesman,"You don’t have, anything?"
964,joey,"You wanna see what I got? Okay? I’ve got a baby Tootsie Roll, a movie stub, keys, a Kleenex, a rock, and an army man. Hey!"
964,the salesman,"Okay, I-I get the picture. Uh, thanks, for your time."
964,joey,"And a 50. Huh, these must be Chandler’s pants."
964,the salesman,"For 50 bucks, you can get one book! What will it be? A? B? C?"
964,joey,"Oh, I-I think I’m gonna stick with the V, I wanna see how this bad boy turns out."
965,rachel,"I ah, will buy and wrap all of your Christmas gifts."
965,chandler,No!
965,rachel,I ah… Oh! I’ll squeeze you fresh orange juice every morning!
965,chandler,With extra pulp?
965,rachel,Yeah!!
965,chandler,No!
965,rachel,D’oh!! I’ve got it!
965,chandler,You don’t have it.
965,rachel,"I have so got it. There’s gonna be rumours about this, there’s no way to stop it. Sophie knows, Monica and Phoebe know."
965,chandler,How do Monica and Phoebe know?
965,rachel,"Oh, I called them. And when they ask me what I saw, I can be very generous stingy."
965,chandler,Go on.
965,rachel,I can make you a legend. I can make you this generation’s Milton Berle.
965,chandler,And Milton Berle has a…
965,rachel,"Ohh, not compared to you."
966,monica,Well?
966,phoebe,They’re not even touching the lasagna!
966,monica,Really?!
966,phoebe,"Oh, they love your casserole."
966,monica,Yes!!
966,phoebe,It’s hard to believe that just a little while ago this was nothing but ingredients.
966,mrs. geller,"Well, everyone seems to be enjoying your dish."
966,monica,And you?
966,mrs. geller,I thought it was… quite tasty.
966,monica,"So if everyone liked it, and you liked it, that would make this a success. Which would make you…"
966,mrs. geller,A bitch?
966,monica,"Well, I was going for wrong, but we can use your word."
966,mrs. geller,"Yes, well I was wrong, and I have to say you really impressed me today."
966,monica,Wow!
966,phoebe,"Umm, you might even say that she pulled a Monica."
966,mrs. geller,"And the next time you cater for me, there will be nothing but ice in the freezer."
966,monica,"That really means a lot. Oh, and Mom, don’t bite your nails."
967,chandler,Hello.
967,"joey, rachel, and ross",Hey!
967,joey,Wh-what’s going on?
967,phoebe,Oh.
967,joey,No he doesn’t!
967,chandler,"Two hours, that lasted!"
967,rachel,So did you break up with Joanna?
967,chandler,I think so.
967,joey,"Well, it’s good thing you got out when you did, before she blew up like that Vesuvius."
967,ross,The volcano?
967,joey,"Yeah. And speaking of volcanoes, man are they a violent igneous rock formation."
967,rachel,What?!
967,joey,"Oh yeah, lava spewing, hot ash, of course some are dormant."
967,monica,Why are you talking about volcanoes all of the sudden?
967,joey,"Well, we can talk about something else. What do you want to talk about? Vivisection? The Vasdeferens? The Vietnam War?"
967,monica,Oh! Did anybody see that-that documentary on the Korean War?
967,all,"Oh, yeah. Yeah."
967,phoebe,"Oh God, Korea is such a beautiful country."
967,ross,With such a sad history.
967,chandler,Could there be more Kims?
968,joanna,Who’s out there?
968,rachel,It’s me! Good morning!
968,joanna,"Rachel, could you come in here for a moment, please?"
968,rachel,"Yeah, sure. Umm, they didn’t have poppy seed bagels, so I… Oh my word!"
968,joanna,I seem to have had a slight office mishap. Could you please get the key off the back of the door for me.
968,rachel,"Oh, yeah! Yeah!"
968,joanna,You tell your friend Chandler that we’re definately broken up this time.
968,rachel,Okay.
969,phoebe,"Hey! New wallet, huh?"
969,chandler,"Yeah, it was time. The old condom ring in the leather just doesn’t say ‘cool’ anymore."
969,monica,Rachel!
969,rachel,What?
969,monica,You just put an empty carton back in the fridge!
969,rachel,"Oh yeah, I know, but the garbage was full."
969,monica,Have you ever taken out the trash?
969,rachel,"Well, I thought you liked doing it."
969,monica,Third door on the left.
969,rachel,Right!
970,rachel,"Oh! Hey, Mr. Treeger."
970,mr. treeger,Hey.
970,mr. treeger,What are you doing?
970,rachel,Ummm. Oh! I’m sorry. It’s a little old but…
970,mr. treeger,No! You’re clogging up the chute that I spent a half-hour unclogging!
970,rachel,I’m sorry. I didn’t—I don’t come in here a lot.
970,mr. treeger,"Oh yeah, of course you don’t!"
970,rachel,No.
970,mr. treeger,"‘Cause you’re a little princess! ""Daddy, buy me a pizza. Daddy, buy me a candy factory. Daddy, make the cast of Cats sing Happy Birthday to me…"""
970,rachel,I didn’t… I never said that.
970,mr. treeger,"You think you could make a mess and the big man in coveralls will come in here and clean it up, huh? Well, why don’t think of someone else for a change?"
970,monica,God! If you’re gonna cry about it! (She grabs the box and goes to through it out.]
971,joey,"Whoa-whoa, Treeger made you cry?"
971,rachel,Yes! And he said really mean things that were only partly true.
971,joey,I’m gonna go down there and teach that guy a lesson.
971,monica,"Joey, please don’t do that. I think it’s best that we just forget about it."
971,rachel,"That’s easy for you to say, you weren’t almost just killed."
971,joey,"All right that’s it, school is in session!"
971,monica,My God! Is this a gym card?
971,chandler,"Oh yeah, gym member. I try to go four times a week, but I’ve missed the last 1200 times."
971,ross,So why don’t you quit?
971,chandler,"You don’t think I’ve tried? You think I like having 50 dollars taken out of my bank account every month? No, they make you go all the way down there! Then they use all of these phrases and peppiness to try and confuse you! Then they bring out Maria."
971,ross,Who is Maria?
971,chandler,"Oh Maria. You can’t say no to her, she’s like this lycra spandex covered gym…treat."
971,ross,You need me to go down there with you and hold your hand?
971,chandler,No!
971,ross,So you’re strong enough to face her on your own?
971,chandler,"Oh no, you’ll have to come."
972,mr. treeger,"Tribbiani! Hold on, I’ll get the plunger."
972,joey,"Hey! You hold on pal! Now you made my friend, Rachel, cry. So now, you’re gonna go up there and apologize to her, unless you want me to call the landlord."
972,mr. treeger,And tell him what?
972,joey,"Have you heard about a little something called, Not Making Girls Cry."
972,mr. treeger,Yeah. Well maybe you have heard about the Rent Stabilization Act of 1968!
972,joey,I have actually not heard of that.
972,mr. treeger,"Yeah, well your friends are in violation of it. I’ve been a nice guy up until now, but uh, I don’t need this grief. I’m gonna call the landlord and tell him that Monica is illegally subletting here grandmother’s apartment. Your friends are outta here pal."
972,joey,Why don’t you tell me something I don’t know!
973,phoebe,"Oh please, somebody tell me I don’t have to go to work today!"
973,monica,What’s the matter?
973,phoebe,"Oh, my first massage today is this incredibly gorgeous guy, and every time I see him I just want to do things to him that I’m not allowed to charge for."
973,monica,So do them for free.
973,phoebe,"Oh no, it is forbidden! No-no, Mrs. Potter fires people for fooling around with clients. And it’s against my oath as a masseuse."
973,ross,They make you take an oath?
973,phoebe,"No, I made myself take an oath. Yeah, no fooling around with clients and umm, always be prepared. Yeah, that one’s actually from the Boy Scouts, but it just makes good sense."
973,chandler,Why don’t you just give him to somebody else?
973,phoebe,"No, I can handle it. No, I’m a professional."
973,rachel,"Oh Pheebs, is that a new ankle bracelet?"
973,monica,Wow! And you got a petticure. Your feet are all dressed up.
973,chandler,Because that’s the only part of you he can see when he’s on the table!
973,monica,You’re gonna do some feet flirtin’!
973,phoebe,I don’t what your talking about.
973,ross,Then how do you explain the toe ring?!
973,phoebe,Because it’s Arabian princess day at work! Okay?! Leave me alone!
973,rachel,Oh! My hero! What happened?
973,joey,"Well uh, I went down there and told him that no one treats my friends like that and that he’d better come up here and apologize. I’ll see you later."
973,monica,"What a minute, what did he say?"
973,joey,"He said that he wasn’t gonna apologize because you guys are living here illegally, so instead what he’s gonna do is have you evicted—I’ll see you later."
973,rachel,What?! You got us evicted!!
973,monica,I told you not to go down there!
973,joey,Well he made Rachel cry!
973,monica,Rachel always cries!
973,rachel,That’s not true!
973,monica,"Now Joey, you go down there and you suck up to him. I mean you suck like you’ve never sucked before!"
973,joey,"All right! I’ll try! But if I can’t, you can stay with Chandler and I until you get settled."
973,rachel,Go!!
973,joey,"All right, all right, all right."
974,ross,"Whoa-whoa-whoa, hey! Now remember what we talked about, you gotta be strong."
974,chandler,Yes. Yes!
974,ross,"One more time, ""Hey, don’t you want a washboard stomach and rock hard pecs?"""
974,chandler,No! I want a flabby gut and saggy man breasts!
974,ross,Good! That’s good!
974,chandler,Okay. I wanna quit the gym.
974,gym employee,You wanna quit?
974,chandler,I wanna quit the gym.
974,gym employee,You do realize that you won’t have access to our new full service Swedish spa.
974,chandler,I wanna quit the gym.
974,gym employee,"Okay, Dave in the membership office, handles quitters. are you a member?"
974,ross,Me? No.
974,gym employee,"Sorry, members only."
974,chandler,I wanna quit the gym.
974,ross,"It’s okay man, be strong."
974,gym employee,"So, are you a member of any gym."
974,ross,"No! And I’m not gonna be, so you can save you little speech."
974,gym employee,"Okay, no problem. Could you come here for a second?"
974,woman,"Hi, I’m Maria."
975,rick,"Wow, you have really pretty feet."
975,phoebe,These old things.
975,rick,"Would you mind spending some time on my siadic area, it’s been killing me today."
975,phoebe,"You mean the—Okay by siadic, you mean the towel covered portion."
975,rick,Yeah.
975,phoebe,"Sure, yeah, no I can do that, yeah, because umm, y'know, the muscles in the siadic area can get y’know, real nice and tight. So umm, tell me Rick, how umm, how did you injure the area."
975,rick,"Oh, a 16-hour sit-in for Greenpeace."
975,phoebe,Oh.
975,rick,Ow! Did you just bite me?
975,phoebe,No!
976,mr. treeger,What?
976,joey,"Please don’t kick Monica and Rachel out, this wasn’t there fault, it was mine."
976,mr. treeger,You want me to kick you guys out instead?
976,joey,"No you can’t do that, where would the chick and the duck live?"
976,mr. treeger,You have pets!
976,joey,"Noo-no-no, no, those are nicknames. I’m the chick and Chandler is the duck."
976,mr. treeger,"Huh, I would’ve thought it was the other way around."
976,joey,"Come on man, just-just let the girls stay, I’ll do whatever you want."
976,mr. treeger,Really? You’ll do anything?
976,joey,"Yeah-yeah, absolutely."
976,mr. treeger,"Yeah, I’ve got something you can do."
976,joey,"What, what is it?"
976,mr. treeger,Can you be my dancing partner?
976,joey,"That’s not, prison lingo, is it?"
977,monica,His dancing partner?!
977,joey,"Yeah, there’s this superintendent’s dance, the Super Ball. I don’t know, and he wants to impress Marge, this lady super that he’s a crush on."
977,rachel,"Well, why doesn’t he practice with a girl?"
977,joey,"Well, he’s too shy, he doesn’t thing he’s good enough to dance with girls yet."
977,rachel,"Yeah, right, he almost danced me right down that…garbage chute."
977,monica,"Oh, would you let it go already?! You’re fine!"
977,chandler,Hey.
977,rachel,"Hey! So, did you quit?"
977,chandler,"No, I almost did, couldn’t leave Ross there without a spotter!"
977,monica,"Wait, now so you joined the gym?"
977,ross,"And that’s funny, why?"
977,rachel,"Oh, umm, I was just y’know working out and umm… Oh, that’s it."
977,chandler,"We’re doomed. Okay, they’re gonna take 50 bucks out of our accounts for the rest of our lives. What are we gonna do?"
977,monica,"Well, you could actually go to the gym."
977,ross,"Or! Or, we could go to the bank, close our accounts and cut them off at the source."
977,chandler,You’re a genius!
977,joey,"Aww, man, now we won’t be bank buddies!"
977,chandler,"Now, there’s two reasons."
977,phoebe,Hey.
977,all,Hey!
977,phoebe,"Ohh, you guys, remember that cute client I told you about? I bit him."
977,rachel,Where?!
977,phoebe,On the touchy.
977,ross,And that’s not against your oath?!
977,phoebe,"No, I know! I-I’m sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one."
977,monica,"Well, next time your massaging him, you should try and distract yourself."
977,joey,"Yeah! Yeah! Yeah! Like-like when I’m doing something exciting and I don’t wanna get too excited, I just ahh, y’know try to thing of other things like ah sandwiches, and ah baseball, and ah Chandler!"
977,chandler,"Thank you, Joey."
977,joey,"No-no, thank you."
978,joey,"All right, I’m here, let’s ahh, get this over with."
978,mr. treeger,"Okay ahh, well, just ahh, follow my lead."
978,joey,"Whoa-whoa, don’t we need to do some kinda preparation first? Like ahh, get really drunk?"
978,mr. treeger,"Look come on, eh, just ah, just ah, put your arms around me, eh."
978,mr. treeger,Ahhhh! I’m sorry!
978,joey,"No, it’s okay, but if I’m Marge, my breasts are coming out my back."
978,mr. treeger,"Ahh, forget it! I’ll never be any good at this, my mom was right, I’m just a big potato with arms, and legs, and a head."
978,joey,"Come on man, you’re not a potato."
978,mr. treeger,"I’m sure as hell a dancer, it’s no use Marge will never go for me."
978,joey,"Come on Treeger, don’t say that. You just ahh, you just need more practice. Here, come on, let’s ahh, let’s try it again. Come on. We-he!! Hey!"
978,mr. treeger,Yeah!
979,monica,"Hey-hey, how goes the dancing? Gay yet?"
979,joey,"Ah-ha-ha, you guys owe me big time."
979,rachel,What was that?
979,joey,What?
979,rachel,You just did a little dancy thing.
979,joey,No I didn’t.
979,monica,Yes you did! You did like a little hop.
979,rachel,You are soo enjoying this.
979,joey,"No, I’m not! And it wasn’t a hop it was a pademarie."
979,monica,You know the words! You are so into this!
979,joey,"All right, well maybe I’m enjoying it a little bit. I mean I’m getting pretty good at it."
979,rachel,"Ooh, this is soo sweet, Joey our little twinkle-toes."
979,joey,"Hey-hey, hold on, this isn’t some kind of like girly dance. All right, it’s like a sport, it’s manly!"
979,monica,"All right, then show me some manly moves."
979,joey,All right.
979,joey,I don’t know how to lead.
980,ross,Hello.
980,chandler,Hi.
980,ross,We’d like to close our accounts.
980,bank officer,Close your accounts? Is there some kind of problem?
980,ross,No-no.
980,chandler,"No, we’d just like to close them."
980,bank officer,"Okay, Ms. Lambert handles all our closures. Would you come over here please?"
980,ms. lambert,"Hi, I’m Karen."
980,chandler,I wanna quit the bank!
981,phoebe,"Okay, baseball. Rick, playing baseball. Okay, slides into second, maybe even his pants come down a little… Oh no—wait no, no! No! Okay, all right, sandwiches, sandwiches. Umm, okay, on a plate, maybe Rick’s pants come down a little. No! No! Okay, Chandler! Okay Chandler, ooh, that’s working."
981,phoebe,"Okay, you’re all set."
981,rick,"Oh wow! That was amazing, was that really just an hour?!"
981,phoebe,Yeah! In… really long hour world.
981,rick,What?
981,phoebe,"Ugh, okay, I have an enormous crush on you. But because you’re a client, I can’t ask you out, even though you give me y’know, the feeling."
981,rick,"Wow! I had no idea! But you know, I could always find another masseuse."
981,phoebe,Really?!
981,rick,"Yeah, really."
981,phoebe,What?
981,rick,"Suddenly, I very aware that I’m naked."
981,mrs. potter,Mr. Simon’s been waiting for— Oh my God!
981,mr. simon,Why wasn’t I offered that? I’d definitely pay more for that.
981,mrs. potter,"Phoebe, we have rules here, this isn’t that kind of place."
981,phoebe,"Oh yeah, oh and I know, but this isn’t what it looks like, ‘cause Rick is my ahh, husband."
981,mrs. potter,"Oh really? Well, then you’d better tell his other wife, ‘cause she called three times asking where he is."
981,phoebe,"Yes, I will tell her."
982,monica,So you didn’t leave the bank?
982,ross,"No! And somehow, we ended up with a joint checking account."
982,rachel,What are you ever gonna use that for?!
982,chandler,To pay for the gym.
982,chandler,Hey.
982,phoebe,"Hey! So I had a great day, Rick and I really hit it off, and we started making out, and then my boss walked in and fired me for being a whore."
982,joey,What?!
982,rachel,You got fired?!
982,monica,Oh my Gosh!
982,phoebe,"It’s so weird, I have never been fired from anything before!"
982,rachel,Sweety...
982,phoebe,"I just-I just started walking around not knowing what to do next, y’know? I-I started asking people on the street if they wanted massages. Then these policemen, thought I was a whore too. It’s been a really bad day, whore wise."
982,mr. treeger,"Hey Duck, is Chick here?"
982,chandler,Yeah… Bunny-rabbit.
982,joey,"So you ah, ready for our last practice?"
982,mr. treeger,"Yeah, but y’know, I think the reason we’re not getting that spin right is because my apartment’s too small."
982,joey,"Look, you wanna use our place?"
982,mr. treeger,"No, I ahh, had another idea."
982,joey,We did it!!
982,mr. treeger,"I know, we did it!! Hey, that was incredible, huh?!"
982,joey,"I know, it was amazing! I mean, we totally nailed it, it was beautiful."
982,mr. treeger,"Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball."
982,joey,"Oh well, okay, good luck."
982,mr. treeger,Yeah.
982,joey,Unless you wanna practice the Foxtrot again? Or-or the Tango?
982,mr. treeger,"Ahh, thanks but no. You see I-I think I’m ready to dance with girls."
982,joey,Okay.
982,mr. treeger,Yeah.
982,joey,Go get ‘em Treeger.
982,mr. treeger,"Right. Hey, ahh, you wanna come? Marge has a girlfriend."
982,joey,Really?
982,mr. treeger,"Yeah, you could dance real good with her, she’s the same size as me."
982,joey,"No, I’m good."
983,interviewer,"So it looks like you’ve got some great experience here. Let’s see ahh, reason for leaving last job?"
983,phoebe,"Yeah, they thought I was a whore."
983,interviewer,"Okay, we’ll give a call if anything comes up."
983,phoebe,Great! Thank you very much.
984,phoebe,Thank you.
985,gunther,Rachel?
985,rachel,Yeah?
985,gunther,When's your birthday?
985,rachel,"May fifth, why?"
985,gunther,"Oh, I-I'm just making a list of people's birthdays."
985,ross,"Oh, mine's December..."
985,gunther,"Yeah, whatever."
985,chandler,"Ohh, she's pretty. Pretty ahh, pretty girl, the pretty--she's pretty."
985,monica,"Just go up to her and ask her out. Oh, what's the worst thing that could happen?"
985,chandler,I could die.
985,ross,"Yeah, it's-it's tough being single. That's why I'm so glad I found Amanda."
985,rachel,"Ross, you guys went out once. You took your kids to Chucky Cheese, and you didn't even kiss her."
985,chandler,I tell people secrets. It makes them like me.
985,phoebe,Oh.
985,chandler,Hey!
